"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 12:12:48 GMT 2024","Sun Aug 25 12:12:48 GMT 2024","337","Main Suite","Smoke","test.LoginTestRegression","test.LoginTestRegression","loginTestStandardUser","Тест на проверку логина","Тест проверяет вход под логином StandardUser"
"passed","Sun Aug 25 12:12:49 GMT 2024","Sun Aug 25 12:12:49 GMT 2024","233","Main Suite","Smoke","test.LoginTestRegression","test.LoginTestRegression","loginTestVisualUser","Тест на проверку логина","Тест проверяет вход под логином VisualUser"
