"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 25 11:32:26 GMT 2024","Sun Aug 25 11:32:26 GMT 2024","692","Surefire suite","Surefire test","test.LoginTest","test.LoginTest","loginTestStandardUser","Тест на проверку логина","Тест проверяет вход под логином StandardUser"
"passed","Sun Aug 25 11:32:27 GMT 2024","Sun Aug 25 11:32:27 GMT 2024","237","Surefire suite","Surefire test","test.LoginTest","test.LoginTest","loginTestVisualUser","Тест на проверку логина","Тест проверяет вход под логином VisualUser"
